id,Age,Sex,Ethnicity,Health,Work,Beef,Lamb,Pork,ProcessedRedMeat,Burgers,Sausages,Offal,Poultry,GameBirds,Fish,Alcohol,Fruit,Veg
179,a0_02,F,white,verygood,u16_75pl,0,0,3,0,0,34,3.475,19.275,0,8.372,0,18,55.93625
180,a0_02,F,white,verygood,u16_75pl,2.65741125,0,10,0,29.285,0,0,20.345,0,27.7455,0,73.9965,69.54427625
181,a0_02,F,white,verygood,u16_75pl,0,0,0,0,0,0,0,15,0,12.92825,0,108.00175,112.803285
182,a0_02,F,other,verygood,u16_75pl,4.3806,5.8071,4,1.5,0,0,0,5.17,0,0,0,286.361275,85.76555
183,a0_02,F,white,verygood,u16_75pl,48.96415,0,0,2.875,0,15.075,0,0,0,0,0,134.9646,112.61536
184,a0_02,F,white,good,u16_75pl,7.625,0,0,0,0,0,0,13.8,0,0,0,135.6075,50.475
185,a0_02,F,asian,good,u16_75pl,0,0,0,0,0,26.25,0,8.3,0,13.275,0,7.41125,39.7095
186,a0_02,F,white,verygood,u16_75pl,0,0,0,8,0,11.87495,0,22.622,0,4.698,0,101.075,50.175
187,a0_02,F,white,good,u16_75pl,0,0,0,0,0,0,0,1.5,0,0,0,4.907,52.4318475
188,a0_02,F,white,fair,u16_75pl,0,0,0,0,0,22.8971375,0,3.9,0,0.541125,0,35.3135,60.8454375
189,a0_02,F,white,verygood,u16_75pl,0,0,6.16,15.18,0,21.655625,0,11.96225,0,24.5575,0,72.721,47.44972
190,a0_02,F,white,bad,u16_75pl,0,0,0,34.5,0,11.25,0,14,0,8.9061,0,119,45.8396625
191,a0_02,F,white,verygood,u16_75pl,19.35,0,0,2.875,0,34.125,0,4.275,0,0,0,1.725,43.11053
192,a0_02,F,white,verygood,u16_75pl,31.25,0,0,0,0,1.87495,0,34.37859375,0,25.116,0,75.74375,40.80334
193,a0_02,F,white,verygood,u16_75pl,0,0,0,0,0,31.87495,0,15.16225,0,20.92125,0,0.60375,22.679625
194,a0_02,F,white,verygood,u16_75pl,7.1625,0,0,51.436,5,3.7499,0,16.25,0,2.093,0,143.25,51.4802125
195,a0_02,F,white,verygood,u16_75pl,18.288,0,0,5.75,0,0,0,1.57625,0,12.558,0,152.68725,150.145441
196,a0_02,F,white,good,u16_75pl,2.4,0,0,0,0,0,0,13.735,0,0,0,112.742,60.515375
197,a0_02,F,white,verygood,u16_75pl,13.4,0,0,0,0,63.75,0,1.4285,0,3.8925,0,67.2890625,49.15975
198,a0_02,F,white,verygood,u16_75pl,0,0,0,17.25,0,22.5,0,34.875,0,4.186,0,44.83125,40.84761
199,a0_02,F,asian,good,u16_75pl,0,0,0,0,0,0,0,0,0,1.11,0,64.24525,28.173
200,a0_02,F,white,verygood,u16_75pl,0,0,0,34.5,0,0,0,20.25135,0,0,0,143.35,17.331
201,a0_02,F,white,good,u16_75pl,49.4,0,0,0,0,30,0,18.1,0,6.01425,0,130.15625,81.34352
202,a0_02,F,white,verygood,u16_75pl,0.02543875,0,0,3.42545125,0,7.2,0,0,0,12.2034,0,241.259515,40.7407
203,a0_02,F,mixed,good,u16_75pl,25.2736,0,0,1.5255,0,0,0,41.575,0,0,0.039375,123.387625,124.95965
204,a0_02,F,white,verygood,u16_75pl,0,0,0,6.05,0,35.75,0,8.85,0,18.5625,0.1725,63.9835,119.964215
205,a0_02,F,white,verygood,u16_75pl,8.225,0,0,0,0,8.25,0,0,0,0,0,6,100.215
206,a0_02,F,white,good,u16_75pl,0,0,0,2.03,10,10.55,0,0,0,0,0,70.0224,57.3817875
207,a0_02,F,other,verygood,u16_75pl,0,0,0,0,0,0,0,16.5,0,0,0,128.009125,5.652
208,a0_02,F,white,verygood,u16_75pl,0,0,0,0,0,31.071,0,2.027625,0,9.29563125,0,95.99375,14.7015
209,a0_02,F,black,verygood,u16_75pl,0,0,7.6,0,0,0,0,1.28,0,15.1776,0,38.335,62.745
210,a0_02,F,black,verygood,u16_75pl,0,0,0,0,30,0,0,9.46225,0,0,0,124.6,70
211,a0_02,F,white,verygood,u16_75pl,0,0,0,4.975,0,4.01775,0,18.9245,0,10.465,0,0,41.2092425
212,a0_02,F,white,verygood,u16_75pl,18.8895,0,0,0,0,0,0,6.4665,0,0,0,0,29.707075
213,a0_02,F,white,fair,u16_75pl,0,0,0,0.25,0,0,0,0,0,0,0,44.126,5.46045
214,a0_02,F,white,verygood,u16_75pl,0,0,0,0,0,0,0,0,0,0,0,30.19962,82.7675875
215,a0_02,F,asian,verygood,u16_75pl,0,0,0,0,0,0,0,7.0966875,0,4.186,0,57.625,59.667
216,a0_02,F,white,verygood,u16_75pl,2.675,0,36,16,0,0,0,8.25,0,16.472,0,5.1,48.5936
217,a0_02,F,white,verygood,u16_75pl,0.06815,0,3.72525,1.47465,0,13.75,0,31.036,0,8.372,0,191.1112,41.67865
218,a0_02,F,white,verygood,u16_75pl,9.25,0,0,7.425,11.075,3.7499,0,4.95,0,0,0,163.2955,19.70254
219,a0_02,F,white,verygood,u16_75pl,9.375,0,0,11.5,0,16,0,0,0,10.725,0,34.85,9.40914
220,a0_02,F,white,good,u16_75pl,0,0,0,18.85,0,45,0,0,0,0,0,205.788,34.901775
221,a0_02,F,mixed,verygood,u16_75pl,0,0,0,0,0,0,0,0,0,0,0,117.785,82.46246175
222,a0_02,F,asian,verygood,u16_75pl,88.6,0,30.275,0,0,77.675,0,21.1905,0,0.01666,0,21,116.98545
223,a0_02,F,white,verygood,u16_75pl,0,0,8.75,6.322065,0,0,0,0,0,8.45,0,122.8125,77.6415175
224,a0_02,F,white,verygood,u16_75pl,0,0,0,0,0,30,0,7,0,23.9285,0,83.61,107.8006875
